year,month,day,pto pizzaro_c,pto pizzaro_e,acapulco_c,acapulco_e,cancas_c,cancas_e,la cruz_c,la cruz_e,zorritos_c,zorritos_e,mancora_c,mancora_e,cabo blanco_c,cabo blanco_e,talara_c,talara_e,paita_c,paita_e,yacila_c,yacila_e,parachique_c,parachique_e,pto rico_c,pto rico_e,san jose_c,san jose_e,santa rosa_c,santa rosa_e,eten_c,eten_e,pacasmayo_c,pacasmayo_e,salaverry_c,salaverry_e,morin_c,morin_e,chimbote_c,chimbote_e,los chimus_c,los chimus_e,carquin_c,carquin_e,huacho_c,huacho_e,chancay_c,chancay_e,ancon_c,ancon_e,pucusana_c,pucusana_e,san andres_c,san andres_e,marcona_c,marcona_e,lomas_c,lomas_e,atico_c,atico_e,la planchada_c,la planchada_e,quilca_c,quilca_e,matarani_c,matarani_e,ilo_c,ilo_e,morro sama_c,morro sama_e
2016,mar,5,,,,,,,,,,,,,,,,,6320,2,,,,,,,60,1,300,,,,,,300,1,,,,,,,,,,,,,,,3400,2,,,,,,,,,,,55,1,,,1000,2,,
2016,mar,6,,,,,,,,,,,,,,,,,,,,,,,,,150,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,1,,
2016,mar,7,,,,,,,,,,,,,,,,,1940,3,,,,,,,,,,,,,,,700,1,,,,,,,,,600,1,2500,3,4100,3,7428,4,,,,,174,1,,,,,1050,4,1000,3,2950,4,,
2016,mar,8,,,,,,,,,353,2,,,,,,,6755,2,,,,,120,1,310,4,,,,,,,50,1,,,,,,,,,2300,2,,,,,5048,6,,,,,265,2,,,,,,,2020,4,,,750,3
2016,mar,9,,,,,,,,,,,,,,,,,6940,2,,,,,,,80,2,,,,,,,200,1,,,1500,1,,,,,,,,,2600,2,6534,5,,,,,,,211,4,,,260,2,1225,3,800,2,,
2016,mar,10,,,42,1,,,,,,,,,,,,,8910,3,100,1,,,,,,,,,,,,,720,1,,,,,,,,,2700,3,,,,,4529,3,,,,,,,,,,,,,3565,5,660,3,,
2016,mar,11,,,,,,,,,7,1,60,1,,,,,682,1,300,1,,,,,450,4,,,,,,,,,,,1500,1,,,,,1500,1,,,,,1737,2,,,,,,,120,1,245,1,1400,2,1000,2,2700,4,,
2016,mar,12,,,,,,,,,,,,,,,,,,,,,,,,,100,1,,,,,,,,,,,,,,,,,,,,,,,902,1,,,,,,,,,,,,,2275,6,1000,1,1100,1
2016,mar,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,1,,
2016,mar,14,,,,,300,1,,,56,1,170,3,,,,,1375,1,200,1,,,,,200,1,,,,,,,2000,2,,,700,,,,,,1400,2,,,100,1,57,1,,,,,,,,,,,,,780,3,1880,3,,
2016,mar,15,,,86,1,,,,,376,4,70,1,,,,,2498,1,400,1,,,,,,,,,,,,,,,,,,,,,,,1500,2,,,250,1,380,2,,,,,45,1,,,1230,1,,,,,150,1,,
2016,mar,16,,,30,1,,,32,1,93,1,,,,,,,560,1,,,,,,,,,,,,,,,,,,,200,1,,,,,1200,1,,,,,1488,4,320,1,,,,,,,530,1,,,500,1,1600,2,,
2016,mar,17,,,,,,,,,,,,,,,,,65,1,,,,,,,150,1,,,,,,,,,,,,,,,,,,,,,,,850,5,,,,,,,25,1,524,8,,,920,3,3615,5,,
2016,mar,18,,,,,,,,,190,2,80,2,,,,,240,1,,,300,1,,,1310,8,,,,,,,50,1,,,700,1,,,,,600,1,600,2,700,1,705,4,200,1,,,35,1,92,4,1370,4,680,1,1250,4,1550,5,,
2016,mar,19,,,,,,,,,,,,,,,,,,,,,,,,,200,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1520,6,17,1,390,1,1050,3,,,,
2016,mar,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,1,,
2016,mar,21,,,,,,,,,905,5,,,,,,,85,1,,,,,,,,,,,,,,,320,3,,,400,1,,,,,800,1,,,1200,1,377,2,,,,,450,2,,,,,280,1,250,1,2250,4,,
2016,mar,22,,,57,1,,,,,210,2,,,12,1,,,,,,,,,,,,,,,,,,,1200,3,,,,,,,,,800,1,1700,2,80,1,1437,4,,,,,210,2,,,910,4,480,2,3900,4,3000,3,600,1
2016,mar,23,,,120,1,,,4,1,172,3,,,,,,,1100,1,,,,,,,,,,,,,,,200,2,,,2500,1,,,,,,,,,650,3,2175,6,,,,,80,1,160,1,920,1,810,2,320,1,1110,3,,
2016,mar,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,1,,,,,,,,,,,,,,,,,,
2016,mar,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar,28,,,,,,,,,,,,,,,,,1220,3,60,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1,,,,,,,,,,,380,1,,,,,1700,2,,
2016,mar,29,,,,,,,,,,,,,,,,,700,1,,,,,,,,,,,,,,,,,,,,,,,,,800,1,,,2000,2,,,,,,,,,,,,,,,,,320,1,,
2016,mar,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,mar,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,apr,1,,,,,,,,,,,140,1,,,,,4166,5,237,1,,,,,40,1,,,,,,,,,,,,,,,,,1300,1,,,1000,1,18370,5,,,,,,,,,1580,1,245,1,1595,3,2300,4,,
2016,apr,2,,,,,,,,,,,150,1,,,,,744,1,,,,,,,,,,,,,,,300,1,,,,,2580,,,,900,1,,,5900,3,15417,9,,,,,,,,,,,,,1250,3,3300,3,,
2016,apr,3,,,,,,,,,,,,,,,465,1,6300,3,14,1,,,,,,,,,,,,,400,1,,,4000,2,,,,,,,3000,1,,,14891,10,,,,,,,22,1,130,1,525,1,,,4800,7,,
2016,apr,4,13,1,,,,,,,,,100,1,,,,,12440,4,,,,,,,,,,,,,,,,,,,,,,,,,700,1,,,4700,3,5964,3,,,,,,,,,,,525,1,410,2,4720,5,,
2016,apr,5,,,,,,,,,,,,,,,,,6320,2,,,,,,,60,1,300,,,,,,300,1,,,,,,,,,,,,,,,3400,2,,,,,,,,,,,55,1,,,1000,2,,
2016,apr,6,,,,,,,,,,,,,,,,,,,,,,,,,150,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,1,,
2016,apr,7,,,,,,,,,,,,,,,,,1940,3,,,,,,,,,,,,,,,700,1,,,,,,,,,600,1,2500,3,4100,3,7428,4,,,,,174,1,,,,,1050,4,1000,3,2950,4,,
2016,apr,8,,,,,,,,,353,2,,,,,,,6755,2,,,,,120,1,310,4,,,,,,,50,1,,,,,,,,,2300,2,,,,,5048,6,,,,,265,2,,,,,,,2020,4,,,750,3
2016,apr,9,,,,,,,,,,,,,,,,,6940,2,,,,,,,80,2,,,,,,,200,1,,,1500,1,,,,,,,,,2600,2,6534,5,,,,,,,211,4,,,260,2,1225,3,800,2,,
2016,apr,10,,,42,1,,,,,,,,,,,,,8910,3,100,1,,,,,,,,,,,,,720,1,,,,,,,,,2700,3,,,,,4529,3,,,,,,,,,,,,,3565,5,660,3,,
2016,apr,11,,,,,,,,,7,1,60,1,,,,,682,1,300,1,,,,,450,4,,,,,,,,,,,1500,1,,,,,1500,1,,,,,1737,2,,,,,,,120,1,245,1,1400,2,1000,2,2700,4,,
2016,apr,12,,,,,,,,,,,,,,,,,,,,,,,,,100,1,,,,,,,,,,,,,,,,,,,,,,,902,1,,,,,,,,,,,,,2275,6,1000,1,1100,1
2016,apr,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,1,,
2016,apr,14,,,,,300,1,,,56,1,170,3,,,,,1375,1,200,1,,,,,200,1,,,,,,,2000,2,,,700,,,,,,1400,2,,,100,1,57,1,,,,,,,,,,,,,780,3,1880,3,,
2016,apr,15,,,86,1,,,,,376,4,70,1,,,,,2498,1,400,1,,,,,,,,,,,,,,,,,,,,,,,1500,2,,,250,1,380,2,,,,,45,1,,,1230,1,,,,,150,1,,
2016,apr,16,,,30,1,,,32,1,93,1,,,,,,,560,1,,,,,,,,,,,,,,,,,,,200,1,,,,,1200,1,,,,,1488,4,320,1,,,,,,,530,1,,,500,1,1600,2,,
2016,apr,17,,,,,,,,,,,,,,,,,65,1,,,,,,,150,1,,,,,,,,,,,,,,,,,,,,,,,850,5,,,,,,,25,1,524,8,,,920,3,3615,5,,
2016,apr,18,,,,,,,,,190,2,80,2,,,,,240,1,,,300,1,,,1310,8,,,,,,,50,1,,,700,1,,,,,600,1,600,2,700,1,705,4,200,1,,,35,1,92,4,1370,4,680,1,1250,4,1550,5,,
2016,apr,19,,,,,,,,,,,,,,,,,,,,,,,,,200,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1520,6,17,1,390,1,1050,3,,,,
2016,apr,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,1,,
2016,apr,21,,,,,,,,,905,5,,,,,,,85,1,,,,,,,,,,,,,,,320,3,,,400,1,,,,,800,1,,,1200,1,377,2,,,,,450,2,,,,,280,1,250,1,2250,4,,
2016,apr,22,,,57,1,,,,,210,2,,,12,1,,,,,,,,,,,,,,,,,,,1200,3,,,,,,,,,800,1,1700,2,80,1,1437,4,,,,,210,2,,,910,4,480,2,3900,4,3000,3,600,1
2016,apr,23,,,120,1,,,4,1,172,3,,,,,,,1100,1,,,,,,,,,,,,,,,200,2,,,2500,1,,,,,,,,,650,3,2175,6,,,,,80,1,160,1,920,1,810,2,320,1,1110,3,,
2016,apr,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,1,,,,,,,,,,,,,,,,,,
2016,apr,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,apr,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,apr,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,apr,28,,,,,,,,,,,,,,,,,1220,3,60,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1,,,,,,,,,,,380,1,,,,,1700,2,,
2016,apr,29,,,,,,,,,,,,,,,,,700,1,,,,,,,,,,,,,,,,,,,,,,,,,800,1,,,2000,2,,,,,,,,,,,,,,,,,320,1,,
2016,apr,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
